price,longitude,calculated_host_listings_count,availability_365,dist_Brooklyn,dist_Manhattan,dist_Queens,tipo_Entire home/apt,tipo_Private room
149,-73.97237,6,365,True,False,False,False,True
225,-73.98377,2,355,False,True,False,True,False
150,-73.9419,1,365,False,True,False,False,True
89,-73.95976,1,194,True,False,False,True,False
80,-73.94399,1,0,False,True,False,True,False
200,-73.975,1,129,False,True,False,True,False
60,-73.95596,1,0,True,False,False,False,True
79,-73.98493,1,220,False,True,False,False,True
79,-73.96723,1,0,False,True,False,False,True
150,-73.99037,4,188,False,True,False,True,False
135,-73.96545,1,6,False,True,False,True,False
85,-73.98867,1,39,False,True,False,False,True
89,-73.98779,3,314,True,False,False,False,True
85,-73.96113,1,333,False,True,False,False,True
120,-74.00525,1,0,False,True,False,True,False
140,-73.95352,1,46,True,False,False,True,False
215,-73.97185,1,321,True,False,False,True,False
140,-73.99501,1,12,False,True,False,False,True
99,-73.94694,1,21,True,False,False,True,False
190,-73.94872,2,249,False,True,False,True,False
299,-73.95718,1,0,True,False,False,True,False
130,-73.97706,6,347,True,False,False,False,True
80,-73.97798,6,364,True,False,False,False,True
110,-73.97865,6,304,True,False,False,False,True
120,-73.94028,2,233,True,False,False,True,False
60,-73.97519,2,85,True,False,False,False,True
80,-73.92639,1,0,False,True,False,False,True
150,-73.98533,1,75,False,True,False,True,False
44,-73.92106,3,311,False,True,False,False,True
180,-73.98542,1,67,False,True,False,True,False
50,-73.95104,3,355,False,True,False,False,True
52,-73.95466,1,255,False,True,False,False,True
55,-73.93762,3,284,True,False,False,False,True
50,-73.95318,3,359,False,True,False,False,True
70,-73.95473,2,269,True,False,False,False,True
89,-73.9878,3,340,True,False,False,False,True
35,-73.94312,1,365,True,False,False,False,True
85,-73.92745,2,22,True,False,False,True,False
150,-73.96327,1,365,True,False,False,False,True
40,-73.98917,4,188,False,True,False,False,False
68,-73.98199,2,96,False,True,False,False,True
120,-73.97966,1,345,True,False,False,True,False
120,-73.97584,1,311,True,False,False,False,True
135,-73.97927,1,273,False,True,False,False,True
150,-73.94478,1,309,False,True,False,True,False
150,-73.96238,1,95,True,False,False,True,False
130,-73.9474,1,215,False,False,True,False,True
110,-73.95591,1,265,True,False,False,True,False
115,-73.9409,1,0,True,False,False,True,False
80,-73.97376,2,192,True,False,False,False,True
80,-73.93934,3,251,True,False,False,False,True
151,-73.97008,1,302,False,True,False,True,False
228,-73.9356,1,140,True,False,False,True,False
144,-73.95392,1,234,True,False,False,True,False
200,-73.98074,1,257,False,True,False,True,False
150,-73.9593,1,30,True,False,False,True,False
110,-73.99104,1,301,False,True,False,False,True
69,-73.99293,2,294,False,True,False,False,True
49,-73.93788,3,320,True,False,False,False,True
180,-73.99775,1,154,False,True,False,True,False
80,-73.96204,1,263,True,False,False,False,True
375,-73.9953,1,180,False,True,False,True,False
250,-73.95269,2,231,False,True,False,True,False
200,-73.96428,2,297,True,False,False,True,False
55,-73.96788,2,292,True,False,False,False,True
52,-73.99119,1,191,False,True,False,False,True
225,-73.98338,1,0,True,False,False,True,False
